Mode;Model;Resource;Metamodel;Util
Full;83;83.bpmn;org.eclipse.bpmn2;0.38461538461538464
Full;83;83.bpmn;mbpmn;0.6039603960396039
Full;85;85.bpmn;org.eclipse.bpmn2;0.36538461538461536
Full;85;85.bpmn;mbpmn;0.5858585858585859
Full;88;88.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;88;88.bpmn;mbpmn;0.5578947368421052
Full;9;9.bpmn;org.eclipse.bpmn2;0.36538461538461536
Full;9;9.bpmn;mbpmn;0.5918367346938775
Full;91;91.bpmn;org.eclipse.bpmn2;0.30128205128205127
Full;91;91.bpmn;mbpmn;0.5161290322580645
Full;97;97.bpmn;org.eclipse.bpmn2;0.34615384615384615
Full;97;97.bpmn;mbpmn;0.5
Full;98;98.bpmn;org.eclipse.bpmn2;0.3974358974358974
Full;98;98.bpmn;mbpmn;0.5575221238938053
Full;99;99.bpmn;org.eclipse.bpmn2;0.3974358974358974
Full;99;99.bpmn;mbpmn;0.5575221238938053
Full;A7_b0448c6829944874a20606ff351eecd7.bpmn;A7_b0448c6829944874a20606ff351eecd7.bpmn;org.eclipse.bpmn2;0.3141025641025641
Full;A7_b0448c6829944874a20606ff351eecd7.bpmn;A7_b0448c6829944874a20606ff351eecd7.bpmn;mbpmn;0.5376344086021505
Full;AR_Selbstbedienungsrestaurant_0480957f29034d5890e1c7627876fb1a.bpmn;AR_Selbstbedienungsrestaurant_0480957f29034d5890e1c7627876fb1a.bpmn;org.eclipse.bpmn2;0.3717948717948718
Full;AR_Selbstbedienungsrestaurant_0480957f29034d5890e1c7627876fb1a.bpmn;AR_Selbstbedienungsrestaurant_0480957f29034d5890e1c7627876fb1a.bpmn;mbpmn;0.5728155339805825
Full;Anja_s_Prozess_90e7bd8bf5ab479488eebc022846df81.bpmn;Anja_s_Prozess_90e7bd8bf5ab479488eebc022846df81.bpmn;org.eclipse.bpmn2;0.28205128205128205
Full;Anja_s_Prozess_90e7bd8bf5ab479488eebc022846df81.bpmn;Anja_s_Prozess_90e7bd8bf5ab479488eebc022846df81.bpmn;mbpmn;0.5769230769230769
Full;Aufgabe1_Warenversand_9c7ad926c64d41e0b176fa052ea60ef6.bpmn;Aufgabe1_Warenversand_9c7ad926c64d41e0b176fa052ea60ef6.bpmn;org.eclipse.bpmn2;0.28846153846153844
Full;Aufgabe1_Warenversand_9c7ad926c64d41e0b176fa052ea60ef6.bpmn;Aufgabe1_Warenversand_9c7ad926c64d41e0b176fa052ea60ef6.bpmn;mbpmn;0.4946236559139785
